x,y,lonlat,perimeter,diameter,localidad,f.use
551112,4755805,42.95317516196519 -2.3733983281999826,,23.5,206,long_esta
551103,4755816,42.95327452942729 -2.3735029343515635,,35.5,207,long_esta
551111,4755826,42.953366436995566 -2.373407296836376,,65.4,208,long_esta
551101,4755842,42.95351077336818 -2.3735264874994755,,25.3,209,long_esta
551111,4755843,42.95351940672845 -2.373399417847395,,62,210,long_esta
551133,4755858,42.953653894364834 -2.373129688203335,,38,211,long_esta
551107,4755872,42.9537809221074 -2.3734507989138365,,50.5,212,long_esta
551107,4755889,42.95392953325063 -2.373443841934204,,29.5,213,long_esta
551116,4755897,42.95400815550238 -2.3733344580978155,,45.3,214,long_esta
551129,4755916,42.95417591929436 -2.373169418424368,,26,215,long_esta
551157,4755895,42.95398510526866 -2.372835986316204,,47,216,long_esta
551148,4755873,42.95378657989204 -2.3729503992944956,,34.5,217,long_esta
551161,4755920,42.95420362148434 -2.3727861139923334,,61.8,218,long_esta
551130,4755929,42.9542886139825 -2.373157599940896,,32,219,long_esta
551116,4755946,42.95444707386196 -2.3733283393085003,,38.5,220,long_esta
549297,4757018,42.96422142069787 -2.3955305758863688,,46.3,221,long_esta
549313,4757031,42.964330217801034 -2.3953410610556602,,35.1,222,long_esta
549320,4757019,42.96422142069787 -2.3952482733875513,,63,223,long_esta
549337,4757007,42.9641205444932 -2.395051382482052,,50,224,long_esta
549330,4757013,42.964167315512896 -2.3951283283531666,,40,225,long_esta
549313,4757022,42.96425193082541 -2.3953445814549923,,54.8,226,long_esta
549325,4757050,42.964499867521226 -2.3951943777501583,,40,227,long_esta
549298,4757062,42.96461658552289 -2.3955233674496412,,59.6,228,long_esta
549299,4757067,42.96465795021504 -2.395512890070677,,51,229,long_esta
549307,4757102,42.964971265755594 -2.395404763519764,,47,230,long_esta
549304,4757052,42.96452731825411 -2.3954511992633343,,64.9,231,long_esta
549288,4757008,42.96412909403443 -2.395647671073675,,60,232,long_esta
549302,4756993,42.96399485785514 -2.395481960847974,,26.5,233,long_esta
549296,4756970,42.96378824394196 -2.3955521173775196,,37,234,long_esta
549314,4756952,42.963619767688215 -2.395339133217931,109,,235,long_esta
549321,4756946,42.96356821898371 -2.3952535539865494,,44.5,236,long_esta
549342,4756952,42.96361951623112 -2.3949953075498343,,33,237,long_esta
549347,4756958,42.963677938096225 -2.3949321918189526,,32.5,238,long_esta
549331,4756977,42.963843145407736 -2.395124640315771,,41,239,long_esta
549345,4757009,42.96413148287684 -2.3949457705020905,,43,240,long_esta
